============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 MeV) ==> Layer 1( 1.92 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  137  1 .5581573E+07   1922000E+01  .4923E+05 -.3043E+06   .9976952 -.0014666 -.0678385
T  138  1 .5609031E+07   1922000E+01  .1518E+06 -.2853E+06   .9977071  .0111964 -.0667470
T  139  1 .4719738E+07   1922000E+01  .1389E+06 -.4672E+06   .9980510  .0520909 -.0343621
T  140  1 .5093718E+07   1922000E+01 -.1588E+06  .3644E+06   .9900893 -.0471859  .1322753
T  141  1 .4943813E+07   1922000E+01 -.3855E+06  .2811E+06   .9989548 -.0378963  .0255565
T  142  1 .5378024E+07   1922000E+01 -.4387E+06 -.1040E+07   .9950938 -.0563681 -.0813075
T  143  1 .4644594E+07   1922000E+01 -.8603E+05 -.1611E+06   .9994722  .0320106 -.0055290
T  144  1 .5654466E+07   1922000E+01 -.1739E+04  .1234E+06   .9996358 -.0221611  .0154014
T  145  1 .4872741E+07   1922000E+01 -.1655E+06 -.2666E+06   .9950023 -.0911075 -.0408647
T  146  1 .5461392E+07   1922000E+01 -.8833E+05 -.3405E+06   .9988103 -.0420451 -.0247035
T  147  1 .4572020E+07   1922000E+01  .2759E+06 -.3005E+06   .9994180  .0239769 -.0242634
T  148  1 .4802548E+07   1922000E+01 -.2051E+07  .1012E+07   .9969513 -.0600158  .0498609
T  149  1 .4847658E+07   1922000E+01  .5288E+06 -.4419E+06   .9953206  .0944103 -.0205799
T  150  1 .4376776E+07   1922000E+01 -.5239E+05  .2912E+06   .9983139 -.0075782  .0575486
T  151  1 .4731819E+07   1922000E+01 -.3028E+06  .3224E+06   .9995203 -.0296005  .0091056
T  152  1 .5368529E+07   1922000E+01  .3061E+06 -.5483E+06   .9992995 -.0172619 -.0332054
T  153  1 .4618107E+07   1922000E+01 -.2263E+07  .1276E+07   .9711335 -.2113365  .1106188
T  154  1 .4906737E+07   1922000E+01  .7838E+06  .2682E+06   .9933825  .1110957  .0291374
T  155  1 .4966651E+07   1922000E+01  .4187E+06 -.4870E+06   .9975441  .0340218 -.0612227
T  156  1 .5789720E+07   1922000E+01 -.2573E+06  .3099E+06   .9997246 -.0155187  .0176060
T  157  1 .4650931E+07   1922000E+01 -.6514E+05 -.1362E+06   .9997575 -.0120958  .0184001
T  158  1 .4927565E+07   1922000E+01  .5433E+05 -.9529E+05   .9990220  .0052393  .0439042
T  159  1 .4656176E+07   1922000E+01  .4890E+06 -.1914E+06   .9977472  .0594053 -.0311687
T  160  1 .4486851E+07   1922000E+01  .2585E+06  .4024E+06   .9981818  .0399982  .0450918
T  161  1 .5448801E+07   1922000E+01 -.9080E+05 -.1562E+06   .9999484  .0093009 -.0040938
T  162  1 .5553248E+07   1922000E+01 -.2295E+06  .1148E+06   .9994502 -.0325598  .0062621
T  163  1 .5367797E+07   1922000E+01 -.2535E+06 -.1092E+05   .9988925 -.0167480 -.0439695
T  164  1 .5417885E+07   1922000E+01 -.2806E+06 -.8158E+05   .9994134 -.0125730  .0318557
T  165  1 .5357702E+07   1922000E+01  .1609E+06 -.5764E+05   .9992041  .0395724  .0050203
T  166  1 .5126428E+07   1922000E+01  .3357E+06 -.3445E+05   .9994037  .0233756 -.0254142
T  167  1 .5282198E+07   1922000E+01 -.3408E+05 -.1072E+06   .9993456  .0358550 -.0047838
T  168  1 .5745746E+07   1922000E+01 -.9734E+05  .2736E+06   .9996434 -.0219865  .0151533
T  169  1 .5091539E+07   1922000E+01 -.8442E+06 -.6958E+05   .9943919 -.1057249 -.0026339
T  170  1 .5236813E+07   1922000E+01 -.4713E+06 -.1621E+05   .9997053 -.0218029 -.0106703
T  171  1 .4999845E+07   1922000E+01 -.2762E+06 -.3055E+06   .9995559 -.0147491 -.0258924
T  172  1 .5034012E+07   1922000E+01 -.1676E+06 -.3276E+05   .9998389  .0161417 -.0078492
T  173  1 .4579134E+07   1922000E+01 -.2961E+06 -.2686E+06   .9985712 -.0386129 -.0369399
T  174  1 .5599899E+07   1922000E+01  .1002E+05 -.1371E+06   .9993081  .0367721  .0055801
T  175  1 .5566920E+07   1922000E+01 -.4715E+06  .2455E+06   .9963788 -.0771516  .0357349
